sample	region
AS006	GREP
AS054	GREP
AS064	GREP
AS074	GREP
AS090	GREP
AS094	GREP
HGDP00511	EUROPE
HGDP00512	EUROPE
HGDP00513	EUROPE
HGDP00514	EUROPE
HGDP00515	EUROPE
HGDP00516	EUROPE
HGDP00517	EUROPE
HGDP00518	EUROPE
HGDP00519	EUROPE
HGDP00520	EUROPE
HGDP00522	EUROPE
HGDP00523	EUROPE
HGDP00524	EUROPE
HGDP00525	EUROPE
HGDP00527	EUROPE
HGDP00528	EUROPE
HGDP00529	EUROPE
HGDP00531	EUROPE
HGDP00534	EUROPE
HGDP00535	EUROPE
HGDP00536	EUROPE
HGDP00537	EUROPE
HGDP00538	EUROPE
HGDP00539	EUROPE
HGDP00666	EUROPE
HGDP00667	EUROPE
HGDP00668	EUROPE
HGDP00669	EUROPE
HGDP00670	EUROPE
HGDP00671	EUROPE
HGDP00672	EUROPE
HGDP00673	EUROPE
HGDP00674	EUROPE
HGDP00794	EUROPE
HGDP00795	EUROPE
HGDP00797	EUROPE
HGDP00799	EUROPE
HGDP00800	EUROPE
HGDP00802	EUROPE
HGDP00803	EUROPE
HGDP00804	EUROPE
HGDP00805	EUROPE
HGDP00806	EUROPE
HGDP00807	EUROPE
HGDP00808	EUROPE
HGDP00810	EUROPE
HGDP00879	EUROPE
HGDP00880	EUROPE
HGDP00881	EUROPE
HGDP00882	EUROPE
HGDP00883	EUROPE
HGDP00884	EUROPE
HGDP00885	EUROPE
HGDP00886	EUROPE
HGDP00888	EUROPE
HGDP00889	EUROPE
HGDP00890	EUROPE
HGDP00891	EUROPE
HGDP00892	EUROPE
HGDP00893	EUROPE
HGDP00894	EUROPE
HGDP00895	EUROPE
HGDP00896	EUROPE
HGDP00897	EUROPE
HGDP00898	EUROPE
HGDP00899	EUROPE
HGDP00900	EUROPE
HGDP00901	EUROPE
HGDP00902	EUROPE
HGDP01062	EUROPE
HGDP01063	EUROPE
HGDP01064	EUROPE
HGDP01065	EUROPE
HGDP01066	EUROPE
HGDP01067	EUROPE
HGDP01068	EUROPE
HGDP01069	EUROPE
HGDP01070	EUROPE
HGDP01071	EUROPE
HGDP01072	EUROPE
HGDP01073	EUROPE
HGDP01074	EUROPE
HGDP01075	EUROPE
HGDP01077	EUROPE
HGDP01149	EUROPE
HGDP01151	EUROPE
HGDP01152	EUROPE
HGDP01155	EUROPE
HGDP01156	EUROPE
HGDP01157	EUROPE
HGDP01161	EUROPE
HGDP01162	EUROPE
HGDP01164	EUROPE
HGDP01166	EUROPE
HGDP01167	EUROPE
HGDP01169	EUROPE
HGDP01171	EUROPE
HGDP01173	EUROPE
HGDP01174	EUROPE
HGDP01177	EUROPE
HGDP01357	EUROPE
HGDP01358	EUROPE
HGDP01359	EUROPE
HGDP01360	EUROPE
HGDP01361	EUROPE
HGDP01362	EUROPE
HGDP01363	EUROPE
HGDP01366	EUROPE
HGDP01367	EUROPE
HGDP01368	EUROPE
HGDP01369	EUROPE
HGDP01370	EUROPE
HGDP01371	EUROPE
HGDP01372	EUROPE
HGDP01373	EUROPE
HGDP01374	EUROPE
HGDP01375	EUROPE
HGDP01376	EUROPE
HGDP01377	EUROPE
HGDP01378	EUROPE
HGDP01379	EUROPE
HGDP01380	EUROPE
HGDP01381	EUROPE
HGDP01382	EUROPE
HGDP01383	EUROPE
HGDP01384	EUROPE
HGDP01385	EUROPE
HGDP01386	EUROPE
HGDP01387	EUROPE
HGDP01388	EUROPE
HGDP01396	EUROPE
HGDP01397	EUROPE
HGDP01398	EUROPE
HGDP01399	EUROPE
HGDP01400	EUROPE
HGDP01403	EUROPE
HGDP01404	EUROPE
